Pitch Offset in HCU,PB MIDI1,PB Hex MIDI2,Delta PB MIDI1,Pitch Offset from MIDI1,PB MIDI2,PB Hex MIDI2,Delta PB MIDI2,Pitch Offset from MIDI2
-1200,0,"0x0000",0,-1200,0,"0x00000000",0,-1200
-1199,7,"0x0007",7,-1199,1789570,"0x001B4E82",1789570,-1199
-1198,14,"0x000E",7,-1198,3579140,"0x00369D04",1789570,-1198
-1197,21,"0x0015",7,-1197,5368710,"0x0051EB86",1789570,-1197
-1196,28,"0x001C",7,-1196,7158279,"0x006D3A07",1789569,-1196
-1195,35,"0x0023",7,-1195,8947849,"0x00888889",1789570,-1195
-1194,41,"0x0029",6,-1194,10737419,"0x00A3D70B",1789570,-1194
-1193,48,"0x0030",7,-1193,12526988,"0x00BF258C",1789569,-1193
-1192,55,"0x0037",7,-1192,14316558,"0x00DA740E",1789570,-1192
-1191,62,"0x003E",7,-1191,16106128,"0x00F5C290",1789570,-1191
-1190,69,"0x0045",7,-1190,17895698,"0x01111112",1789570,-1190
-1189,76,"0x004C",7,-1189,19685267,"0x012C5F93",1789569,-1189
-1188,82,"0x0052",6,-1188,21474837,"0x0147AE15",1789570,-1188
-1187,89,"0x0059",7,-1187,23264407,"0x0162FC97",1789570,-1187
-1186,96,"0x0060",7,-1186,25053976,"0x017E4B18",1789569,-1186
-1185,103,"0x0067",7,-1185,26843546,"0x0199999A",1789570,-1185
-1184,110,"0x006E",7,-1184,28633116,"0x01B4E81C",1789570,-1184
-1183,117,"0x0075",7,-1183,30422686,"0x01D0369E",1789570,-1182
-1182,123,"0x007B",6,-1182,32212255,"0x01EB851F",1789569,-1182
-1181,130,"0x0082",7,-1181,34001825,"0x0206D3A1",1789570,-1181
-1180,137,"0x0089",7,-1180,35791395,"0x02222223",1789570,-1180
-1179,144,"0x0090",7,-1179,37580964,"0x023D70A4",1789569,-1179
-1178,151,"0x0097",7,-1178,39370534,"0x0258BF26",1789570,-1178
-1177,158,"0x009E",7,-1176,41160104,"0x02740DA8",1789570,-1177
-1176,164,"0x00A4",6,-1176,42949673,"0x028F5C29",1789569,-1176
-1175,171,"0x00AB",7,-1175,44739243,"0x02AAAAAB",1789570,-1175
-1174,178,"0x00B2",7,-1174,46528813,"0x02C5F92D",1789570,-1174
-1173,185,"0x00B9",7,-1173,48318383,"0x02E147AF",1789570,-1173
-1172,192,"0x00C0",7,-1172,50107952,"0x02FC9630",1789569,-1172
-1171,198,"0x00C6",6,-1171,51897522,"0x0317E4B2",1789570,-1171
-1170,205,"0x00CD",7,-1170,53687092,"0x03333334",1789570,-1170
-1169,212,"0x00D4",7,-1169,55476661,"0x034E81B5",1789569,-1169
-1168,219,"0x00DB",7,-1168,57266231,"0x0369D037",1789570,-1168
-1167,226,"0x00E2",7,-1167,59055801,"0x03851EB9",1789570,-1167
-1166,233,"0x00E9",7,-1166,60845371,"0x03A06D3B",1789570,-1165
-1165,239,"0x00EF",6,-1165,62634940,"0x03BBBBBC",1789569,-1165
-1164,246,"0x00F6",7,-1164,64424510,"0x03D70A3E",1789570,-1164
-1163,253,"0x00FD",7,-1163,66214080,"0x03F258C0",1789570,-1163
-1162,260,"0x0104",7,-1162,68003649,"0x040DA741",1789569,-1162
-1161,267,"0x010B",7,-1161,69793219,"0x0428F5C3",1789570,-1161
-1160,274,"0x0112",7,-1160,71582789,"0x04444445",1789570,-1160
-1159,280,"0x0118",6,-1159,73372358,"0x045F92C6",1789569,-1159
-1158,287,"0x011F",7,-1158,75161928,"0x047AE148",1789570,-1158
-1157,294,"0x0126",7,-1157,76951498,"0x04962FCA",1789570,-1157
-1156,301,"0x012D",7,-1156,78741068,"0x04B17E4C",1789570,-1156
-1155,308,"0x0134",7,-1155,80530637,"0x04CCCCCD",1789569,-1155
-1154,315,"0x013B",7,-1153,82320207,"0x04E81B4F",1789570,-1154
-1153,321,"0x0141",6,-1153,84109777,"0x050369D1",1789570,-1153
-1152,328,"0x0148",7,-1152,85899346,"0x051EB852",1789569,-1152
-1151,335,"0x014F",7,-1151,87688916,"0x053A06D4",1789570,-1151
-1150,342,"0x0156",7,-1150,89478486,"0x05555556",1789570,-1150
-1149,349,"0x015D",7,-1149,91268056,"0x0570A3D8",1789570,-1148
-1148,355,"0x0163",6,-1148,93057625,"0x058BF259",1789569,-1148
-1147,362,"0x016A",7,-1147,94847195,"0x05A740DB",1789570,-1147
-1146,369,"0x0171",7,-1146,96636765,"0x05C28F5D",1789570,-1146
-1145,376,"0x0178",7,-1145,98426334,"0x05DDDDDE",1789569,-1145
-1144,383,"0x017F",7,-1144,100215904,"0x05F92C60",1789570,-1144
-1143,390,"0x0186",7,-1143,102005474,"0x06147AE2",1789570,-1143
-1142,396,"0x018C",6,-1142,103795043,"0x062FC963",1789569,-1142
-1141,403,"0x0193",7,-1141,105584613,"0x064B17E5",1789570,-1141
-1140,410,"0x019A",7,-1140,107374183,"0x06666667",1789570,-1140
