Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-200,0,"0x0000",0,-200.000,0.000,-200.000,0.000
-199,10737419,"0xA3D70B",10737419,-199.000,0.000,-199.000,-0.000
-198,21474837,"0x147AE15",10737418,-198.000,0.000,-198.000,-0.000
-197,32212255,"0x1EB851F",10737418,-197.000,0.000,-197.000,-0.000
-196,42949673,"0x28F5C29",10737418,-196.000,0.000,-196.000,-0.000
-195,53687092,"0x3333334",10737419,-195.000,0.000,-195.000,-0.000
-194,64424510,"0x3D70A3E",10737418,-194.000,0.000,-194.000,-0.000
-193,75161928,"0x47AE148",10737418,-193.000,0.000,-193.000,-0.000
-192,85899346,"0x51EB852",10737418,-192.000,0.000,-192.000,-0.000
-191,96636765,"0x5C28F5D",10737419,-191.000,0.000,-191.000,-0.000
-190,107374183,"0x6666667",10737418,-190.000,0.000,-190.000,-0.000
-189,118111601,"0x70A3D71",10737418,-189.000,0.000,-189.000,-0.000
-188,128849019,"0x7AE147B",10737418,-188.000,0.000,-188.000,-0.000
-187,139586438,"0x851EB86",10737419,-187.000,0.000,-187.000,-0.000
-186,150323856,"0x8F5C290",10737418,-186.000,0.000,-186.000,-0.000
-185,161061274,"0x999999A",10737418,-185.000,0.000,-185.000,-0.000
-184,171798692,"0xA3D70A4",10737418,-184.000,0.000,-184.000,-0.000
-183,182536111,"0xAE147AF",10737419,-183.000,-0.000,-183.000,-0.000
-182,193273529,"0xB851EB9",10737418,-182.000,0.000,-182.000,-0.000
-181,204010947,"0xC28F5C3",10737418,-181.000,0.000,-181.000,-0.000
-180,214748365,"0xCCCCCCD",10737418,-180.000,0.000,-180.000,-0.000
-179,225485784,"0xD70A3D8",10737419,-179.000,-0.000,-179.000,-0.000
-178,236223202,"0xE147AE2",10737418,-178.000,0.000,-178.000,-0.000
-177,246960620,"0xEB851EC",10737418,-177.000,0.000,-177.000,-0.000
-176,257698038,"0xF5C28F6",10737418,-176.000,0.000,-176.000,-0.000
-175,268435456,"0x10000000",10737418,-175.000,0.000,-175.000,0.000
-174,279172875,"0x10A3D70B",10737419,-174.000,0.000,-174.000,-0.000
-173,289910293,"0x1147AE15",10737418,-173.000,0.000,-173.000,-0.000
-172,300647711,"0x11EB851F",10737418,-172.000,0.000,-172.000,-0.000
-171,311385129,"0x128F5C29",10737418,-171.000,0.000,-171.000,-0.000
-170,322122548,"0x13333334",10737419,-170.000,0.000,-170.000,-0.000
-169,332859966,"0x13D70A3E",10737418,-169.000,0.000,-169.000,-0.000
-168,343597384,"0x147AE148",10737418,-168.000,0.000,-168.000,-0.000
-167,354334802,"0x151EB852",10737418,-167.000,0.000,-167.000,-0.000
-166,365072221,"0x15C28F5D",10737419,-166.000,-0.000,-166.000,-0.000
-165,375809639,"0x16666667",10737418,-165.000,0.000,-165.000,-0.000
-164,386547057,"0x170A3D71",10737418,-164.000,0.000,-164.000,-0.000
-163,397284475,"0x17AE147B",10737418,-163.000,0.000,-163.000,-0.000
-162,408021894,"0x1851EB86",10737419,-162.000,-0.000,-162.000,-0.000
-161,418759312,"0x18F5C290",10737418,-161.000,0.000,-161.000,-0.000
-160,429496730,"0x1999999A",10737418,-160.000,0.000,-160.000,-0.000
-159,440234148,"0x1A3D70A4",10737418,-159.000,0.000,-159.000,-0.000
-158,450971567,"0x1AE147AF",10737419,-158.000,-0.000,-158.000,-0.000
-157,461708985,"0x1B851EB9",10737418,-157.000,0.000,-157.000,-0.000
-156,472446403,"0x1C28F5C3",10737418,-156.000,0.000,-156.000,-0.000
-155,483183821,"0x1CCCCCCD",10737418,-155.000,0.000,-155.000,-0.000
-154,493921240,"0x1D70A3D8",10737419,-154.000,-0.000,-154.000,-0.000
-153,504658658,"0x1E147AE2",10737418,-153.000,0.000,-153.000,-0.000
-152,515396076,"0x1EB851EC",10737418,-152.000,0.000,-152.000,-0.000
-151,526133494,"0x1F5C28F6",10737418,-151.000,0.000,-151.000,-0.000
-150,536870912,"0x20000000",10737418,-150.000,0.000,-150.000,0.000
-149,547608331,"0x20A3D70B",10737419,-149.000,-0.000,-149.000,-0.000
-148,558345749,"0x2147AE15",10737418,-148.000,0.000,-148.000,-0.000
-147,569083167,"0x21EB851F",10737418,-147.000,0.000,-147.000,-0.000
-146,579820585,"0x228F5C29",10737418,-146.000,0.000,-146.000,-0.000
-145,590558004,"0x23333334",10737419,-145.000,-0.000,-145.000,-0.000
-144,601295422,"0x23D70A3E",10737418,-144.000,0.000,-144.000,-0.000
-143,612032840,"0x247AE148",10737418,-143.000,0.000,-143.000,-0.000
-142,622770258,"0x251EB852",10737418,-142.000,0.000,-142.000,-0.000
-141,633507677,"0x25C28F5D",10737419,-141.000,-0.000,-141.000,-0.000
-140,644245095,"0x26666667",10737418,-140.000,0.000,-140.000,-0.000
-139,654982513,"0x270A3D71",10737418,-139.000,0.000,-139.000,-0.000
-138,665719931,"0x27AE147B",10737418,-138.000,0.000,-138.000,-0.000
-137,676457350,"0x2851EB86",10737419,-137.000,-0.000,-137.000,-0.000
-136,687194768,"0x28F5C290",10737418,-136.000,0.000,-136.000,-0.000
-135,697932186,"0x2999999A",10737418,-135.000,0.000,-135.000,-0.000
-134,708669604,"0x2A3D70A4",10737418,-134.000,0.000,-134.000,-0.000
-133,719407023,"0x2AE147AF",10737419,-133.000,-0.000,-133.000,-0.000
-132,730144441,"0x2B851EB9",10737418,-132.000,-0.000,-132.000,-0.000
-131,740881859,"0x2C28F5C3",10737418,-131.000,0.000,-131.000,-0.000
-130,751619277,"0x2CCCCCCD",10737418,-130.000,0.000,-130.000,-0.000
-129,762356696,"0x2D70A3D8",10737419,-129.000,-0.000,-129.000,-0.000
-128,773094114,"0x2E147AE2",10737418,-128.000,-0.000,-128.000,-0.000
-127,783831532,"0x2EB851EC",10737418,-127.000,0.000,-127.000,-0.000
-126,794568950,"0x2F5C28F6",10737418,-126.000,0.000,-126.000,-0.000
-125,805306368,"0x30000000",10737418,-125.000,0.000,-125.000,0.000
-124,816043787,"0x30A3D70B",10737419,-124.000,-0.000,-124.000,-0.000
-123,826781205,"0x3147AE15",10737418,-123.000,0.000,-123.000,-0.000
-122,837518623,"0x31EB851F",10737418,-122.000,0.000,-122.000,-0.000
-121,848256041,"0x328F5C29",10737418,-121.000,0.000,-121.000,-0.000
-120,858993460,"0x33333334",10737419,-120.000,-0.000,-120.000,-0.000
-119,869730878,"0x33D70A3E",10737418,-119.000,0.000,-119.000,-0.000
-118,880468296,"0x347AE148",10737418,-118.000,0.000,-118.000,-0.000
-117,891205714,"0x351EB852",10737418,-117.000,0.000,-117.000,-0.000
-116,901943133,"0x35C28F5D",10737419,-116.000,-0.000,-116.000,-0.000
-115,912680551,"0x36666667",10737418,-115.000,-0.000,-115.000,-0.000
-114,923417969,"0x370A3D71",10737418,-114.000,0.000,-114.000,-0.000
-113,934155387,"0x37AE147B",10737418,-113.000,0.000,-113.000,-0.000
-112,944892806,"0x3851EB86",10737419,-112.000,-0.000,-112.000,-0.000
-111,955630224,"0x38F5C290",10737418,-111.000,-0.000,-111.000,-0.000
-110,966367642,"0x3999999A",10737418,-110.000,0.000,-110.000,-0.000
-109,977105060,"0x3A3D70A4",10737418,-109.000,0.000,-109.000,-0.000
-108,987842479,"0x3AE147AF",10737419,-108.000,-0.000,-108.000,-0.000
-107,998579897,"0x3B851EB9",10737418,-107.000,-0.000,-107.000,-0.000
-106,1009317315,"0x3C28F5C3",10737418,-106.000,0.000,-106.000,-0.000
-105,1020054733,"0x3CCCCCCD",10737418,-105.000,0.000,-105.000,-0.000
