Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-200,0,"0x0000",0,-200.000,0.000,-200.000,0.000
-199,40,"0x0028",40,-199.048,0.048,-199.023,0.023
-198,81,"0x0051",41,-198.047,0.047,-198.022,0.022
-197,122,"0x007A",41,-197.046,0.046,-197.021,0.021
-196,163,"0x00A3",41,-196.044,0.044,-196.021,0.021
-195,204,"0x00CC",41,-195.043,0.043,-195.020,0.020
-194,245,"0x00F5",41,-194.042,0.042,-194.019,0.019
-193,286,"0x011E",41,-193.041,0.041,-193.018,0.018
-192,327,"0x0147",41,-192.040,0.040,-192.017,0.017
-191,368,"0x0170",41,-191.039,0.039,-191.016,0.016
-190,409,"0x0199",41,-190.038,0.038,-190.015,0.015
-189,450,"0x01C2",41,-189.037,0.037,-189.014,0.014
-188,491,"0x01EB",41,-188.036,0.036,-188.013,0.013
-187,532,"0x0214",41,-187.035,0.035,-187.012,0.012
-186,573,"0x023D",41,-186.033,0.033,-186.011,0.011
-185,614,"0x0266",41,-185.032,0.032,-185.010,0.010
-184,655,"0x028F",41,-184.031,0.031,-184.009,0.009
-183,696,"0x02B8",41,-183.030,0.030,-183.008,0.008
-182,737,"0x02E1",41,-182.029,0.029,-182.007,0.007
-181,778,"0x030A",41,-181.028,0.028,-181.006,0.006
-180,819,"0x0333",41,-180.027,0.027,-180.005,0.005
-179,860,"0x035C",41,-179.026,0.026,-179.004,0.004
-178,901,"0x0385",41,-178.025,0.025,-178.003,0.003
-177,942,"0x03AE",41,-177.024,0.024,-177.002,0.002
-176,983,"0x03D7",41,-176.022,0.022,-176.001,0.001
-175,1024,"0x0400",41,-175.021,0.021,-175.000,0.000
-174,1064,"0x0428",40,-174.045,0.045,-174.023,0.023
-173,1105,"0x0451",41,-173.044,0.044,-173.022,0.022
-172,1146,"0x047A",41,-172.042,0.042,-172.021,0.021
-171,1187,"0x04A3",41,-171.041,0.041,-171.021,0.021
-170,1228,"0x04CC",41,-170.040,0.040,-170.020,0.020
-169,1269,"0x04F5",41,-169.039,0.039,-169.019,0.019
-168,1310,"0x051E",41,-168.038,0.038,-168.018,0.018
-167,1351,"0x0547",41,-167.037,0.037,-167.017,0.017
-166,1392,"0x0570",41,-166.036,0.036,-166.016,0.016
-165,1433,"0x0599",41,-165.035,0.035,-165.015,0.015
-164,1474,"0x05C2",41,-164.034,0.034,-164.014,0.014
-163,1515,"0x05EB",41,-163.033,0.033,-163.013,0.013
-162,1556,"0x0614",41,-162.031,0.031,-162.012,0.012
-161,1597,"0x063D",41,-161.030,0.030,-161.011,0.011
-160,1638,"0x0666",41,-160.029,0.029,-160.010,0.010
-159,1679,"0x068F",41,-159.028,0.028,-159.009,0.009
-158,1720,"0x06B8",41,-158.027,0.027,-158.008,0.008
-157,1761,"0x06E1",41,-157.026,0.026,-157.007,0.007
-156,1802,"0x070A",41,-156.025,0.025,-156.006,0.006
-155,1843,"0x0733",41,-155.024,0.024,-155.005,0.005
-154,1884,"0x075C",41,-154.023,0.023,-154.004,0.004
-153,1925,"0x0785",41,-153.022,0.022,-153.003,0.003
-152,1966,"0x07AE",41,-152.021,0.021,-152.002,0.002
-151,2007,"0x07D7",41,-151.019,0.019,-151.001,0.001
-150,2048,"0x0800",41,-150.018,0.018,-150.000,0.000
-149,2088,"0x0828",40,-149.042,0.042,-149.023,0.023
-148,2129,"0x0851",41,-148.041,0.041,-148.022,0.022
-147,2170,"0x087A",41,-147.039,0.039,-147.021,0.021
-146,2211,"0x08A3",41,-146.038,0.038,-146.021,0.021
-145,2252,"0x08CC",41,-145.037,0.037,-145.020,0.020
-144,2293,"0x08F5",41,-144.036,0.036,-144.019,0.019
-143,2334,"0x091E",41,-143.035,0.035,-143.018,0.018
-142,2375,"0x0947",41,-142.034,0.034,-142.017,0.017
-141,2416,"0x0970",41,-141.033,0.033,-141.016,0.016
-140,2457,"0x0999",41,-140.032,0.032,-140.015,0.015
-139,2498,"0x09C2",41,-139.031,0.031,-139.014,0.014
-138,2539,"0x09EB",41,-138.030,0.030,-138.013,0.013
-137,2580,"0x0A14",41,-137.028,0.028,-137.012,0.012
-136,2621,"0x0A3D",41,-136.027,0.027,-136.011,0.011
-135,2662,"0x0A66",41,-135.026,0.026,-135.010,0.010
-134,2703,"0x0A8F",41,-134.025,0.025,-134.009,0.009
-133,2744,"0x0AB8",41,-133.024,0.024,-133.008,0.008
-132,2785,"0x0AE1",41,-132.023,0.023,-132.007,0.007
-131,2826,"0x0B0A",41,-131.022,0.022,-131.006,0.006
-130,2867,"0x0B33",41,-130.021,0.021,-130.005,0.005
-129,2908,"0x0B5C",41,-129.020,0.020,-129.004,0.004
-128,2949,"0x0B85",41,-128.019,0.019,-128.003,0.003
-127,2990,"0x0BAE",41,-127.017,0.017,-127.002,0.002
-126,3031,"0x0BD7",41,-126.016,0.016,-126.001,0.001
-125,3072,"0x0C00",41,-125.015,0.015,-125.000,0.000
-124,3112,"0x0C28",40,-124.039,0.039,-124.023,0.023
-123,3153,"0x0C51",41,-123.037,0.037,-123.022,0.022
-122,3194,"0x0C7A",41,-122.036,0.036,-122.021,0.021
-121,3235,"0x0CA3",41,-121.035,0.035,-121.021,0.021
-120,3276,"0x0CCC",41,-120.034,0.034,-120.020,0.020
