Offset in HCU,PB MIDI1,PB Hex MIDI2,𝚫PB MIDI1,Pitch from MIDI1,PB MIDI2,PB Hex MIDI2,𝚫PB MIDI2,Pitch from MIDI2
-9600,0,"0x0000",0,-9600,0,"0x00000000",0,-9600
-9599,1,"0x0001",1,-9600,223697,"0x000369D1",223697,-9599
-9598,2,"0x0002",1,-9598,447393,"0x0006D3A1",223696,-9598
-9597,3,"0x0003",1,-9597,671089,"0x000A3D71",223696,-9597
-9596,4,"0x0004",1,-9596,894785,"0x000DA741",223696,-9596
-9595,5,"0x0005",1,-9595,1118482,"0x00111112",223697,-9595
-9594,6,"0x0006",1,-9594,1342178,"0x00147AE2",223696,-9594
-9593,6,"0x0006",0,-9594,1565874,"0x0017E4B2",223696,-9593
-9592,7,"0x0007",1,-9592,1789570,"0x001B4E82",223696,-9592
-9591,8,"0x0008",1,-9591,2013266,"0x001EB852",223696,-9591
-9590,9,"0x0009",1,-9590,2236963,"0x00222223",223697,-9590
-9589,10,"0x000A",1,-9589,2460659,"0x00258BF3",223696,-9589
-9588,11,"0x000B",1,-9588,2684355,"0x0028F5C3",223696,-9588
-9587,12,"0x000C",1,-9587,2908051,"0x002C5F93",223696,-9587
-9586,12,"0x000C",0,-9587,3131747,"0x002FC963",223696,-9586
-9585,13,"0x000D",1,-9585,3355444,"0x00333334",223697,-9585
-9584,14,"0x000E",1,-9584,3579140,"0x00369D04",223696,-9584
-9583,15,"0x000F",1,-9583,3802836,"0x003A06D4",223696,-9583
-9582,16,"0x0010",1,-9582,4026532,"0x003D70A4",223696,-9582
-9581,17,"0x0011",1,-9581,4250229,"0x0040DA75",223697,-9581
-9580,18,"0x0012",1,-9580,4473925,"0x00444445",223696,-9580
-9579,18,"0x0012",0,-9580,4697621,"0x0047AE15",223696,-9579
-9578,19,"0x0013",1,-9578,4921317,"0x004B17E5",223696,-9578
-9577,20,"0x0014",1,-9577,5145013,"0x004E81B5",223696,-9577
-9576,21,"0x0015",1,-9576,5368710,"0x0051EB86",223697,-9576
-9575,22,"0x0016",1,-9575,5592406,"0x00555556",223696,-9575
-9574,23,"0x0017",1,-9574,5816102,"0x0058BF26",223696,-9574
-9573,24,"0x0018",1,-9573,6039798,"0x005C28F6",223696,-9573
-9572,24,"0x0018",0,-9573,6263494,"0x005F92C6",223696,-9572
-9571,25,"0x0019",1,-9571,6487191,"0x0062FC97",223697,-9571
-9570,26,"0x001A",1,-9570,6710887,"0x00666667",223696,-9570
-9569,27,"0x001B",1,-9569,6934583,"0x0069D037",223696,-9569
-9568,28,"0x001C",1,-9568,7158279,"0x006D3A07",223696,-9568
-9567,29,"0x001D",1,-9567,7381976,"0x0070A3D8",223697,-9567
-9566,30,"0x001E",1,-9566,7605672,"0x00740DA8",223696,-9566
-9565,30,"0x001E",0,-9566,7829368,"0x00777778",223696,-9565
-9564,31,"0x001F",1,-9564,8053064,"0x007AE148",223696,-9564
-9563,32,"0x0020",1,-9563,8276760,"0x007E4B18",223696,-9563
-9562,33,"0x0021",1,-9562,8500457,"0x0081B4E9",223697,-9562
-9561,34,"0x0022",1,-9561,8724153,"0x00851EB9",223696,-9561
-9560,35,"0x0023",1,-9560,8947849,"0x00888889",223696,-9560
-9559,35,"0x0023",0,-9560,9171545,"0x008BF259",223696,-9559
-9558,36,"0x0024",1,-9558,9395241,"0x008F5C29",223696,-9558
-9557,37,"0x0025",1,-9557,9618938,"0x0092C5FA",223697,-9557
-9556,38,"0x0026",1,-9556,9842634,"0x00962FCA",223696,-9556
-9555,39,"0x0027",1,-9555,10066330,"0x0099999A",223696,-9555
-9554,40,"0x0028",1,-9554,10290026,"0x009D036A",223696,-9554
-9553,41,"0x0029",1,-9553,10513723,"0x00A06D3B",223697,-9553
-9552,41,"0x0029",0,-9553,10737419,"0x00A3D70B",223696,-9552
-9551,42,"0x002A",1,-9551,10961115,"0x00A740DB",223696,-9551
-9550,43,"0x002B",1,-9550,11184811,"0x00AAAAAB",223696,-9550
-9549,44,"0x002C",1,-9549,11408507,"0x00AE147B",223696,-9549
-9548,45,"0x002D",1,-9548,11632204,"0x00B17E4C",223697,-9548
-9547,46,"0x002E",1,-9547,11855900,"0x00B4E81C",223696,-9547
-9546,47,"0x002F",1,-9546,12079596,"0x00B851EC",223696,-9546
-9545,47,"0x002F",0,-9546,12303292,"0x00BBBBBC",223696,-9545
-9544,48,"0x0030",1,-9544,12526988,"0x00BF258C",223696,-9544
-9543,49,"0x0031",1,-9543,12750685,"0x00C28F5D",223697,-9543
-9542,50,"0x0032",1,-9542,12974381,"0x00C5F92D",223696,-9542
