Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-9600,0,"0x0000",0,-9600.000,0.000,-9600.000,0.000
-9599,1,"0x0001",1,-9600.000,1.000,-9598.828,-0.172
-9598,2,"0x0002",1,-9598.828,0.828,-9597.656,-0.344
-9597,3,"0x0003",1,-9597.656,0.656,-9596.484,-0.516
-9596,4,"0x0004",1,-9596.484,0.484,-9595.313,-0.688
-9595,5,"0x0005",1,-9595.312,0.312,-9594.141,-0.859
-9594,6,"0x0006",1,-9594.140,0.140,-9592.969,-1.031
-9593,6,"0x0006",0,-9594.140,1.140,-9592.969,-0.031
-9592,7,"0x0007",1,-9592.968,0.968,-9591.797,-0.203
-9591,8,"0x0008",1,-9591.796,0.796,-9590.625,-0.375
-9590,9,"0x0009",1,-9590.624,0.624,-9589.453,-0.547
-9589,10,"0x000A",1,-9589.452,0.452,-9588.281,-0.719
-9588,11,"0x000B",1,-9588.280,0.280,-9587.109,-0.891
-9587,12,"0x000C",1,-9587.108,0.108,-9585.938,-1.063
-9586,12,"0x000C",0,-9587.108,1.108,-9585.938,-0.063
-9585,13,"0x000D",1,-9585.936,0.936,-9584.766,-0.234
-9584,14,"0x000E",1,-9584.764,0.764,-9583.594,-0.406
-9583,15,"0x000F",1,-9583.592,0.592,-9582.422,-0.578
-9582,16,"0x0010",1,-9582.420,0.420,-9581.250,-0.750
-9581,17,"0x0011",1,-9581.248,0.248,-9580.078,-0.922
-9580,18,"0x0012",1,-9580.076,0.076,-9578.906,-1.094
-9579,18,"0x0012",0,-9580.076,1.076,-9578.906,-0.094
-9578,19,"0x0013",1,-9578.904,0.904,-9577.734,-0.266
-9577,20,"0x0014",1,-9577.732,0.732,-9576.563,-0.438
-9576,21,"0x0015",1,-9576.560,0.560,-9575.391,-0.609
-9575,22,"0x0016",1,-9575.388,0.388,-9574.219,-0.781
-9574,23,"0x0017",1,-9574.216,0.216,-9573.047,-0.953
-9573,24,"0x0018",1,-9573.044,0.044,-9571.875,-1.125
-9572,24,"0x0018",0,-9573.044,1.044,-9571.875,-0.125
-9571,25,"0x0019",1,-9571.872,0.872,-9570.703,-0.297
-9570,26,"0x001A",1,-9570.700,0.700,-9569.531,-0.469
-9569,27,"0x001B",1,-9569.528,0.528,-9568.359,-0.641
-9568,28,"0x001C",1,-9568.356,0.356,-9567.188,-0.813
-9567,29,"0x001D",1,-9567.183,0.183,-9566.016,-0.984
-9566,30,"0x001E",1,-9566.011,0.011,-9564.844,-1.156
-9565,30,"0x001E",0,-9566.011,1.011,-9564.844,-0.156
-9564,31,"0x001F",1,-9564.839,0.839,-9563.672,-0.328
-9563,32,"0x0020",1,-9563.667,0.667,-9562.500,-0.500
-9562,33,"0x0021",1,-9562.495,0.495,-9561.328,-0.672
-9561,34,"0x0022",1,-9561.323,0.323,-9560.156,-0.844
-9560,35,"0x0023",1,-9560.151,0.151,-9558.984,-1.016
-9559,35,"0x0023",0,-9560.151,1.151,-9558.984,-0.016
-9558,36,"0x0024",1,-9558.979,0.979,-9557.813,-0.188
-9557,37,"0x0025",1,-9557.807,0.807,-9556.641,-0.359
-9556,38,"0x0026",1,-9556.635,0.635,-9555.469,-0.531
-9555,39,"0x0027",1,-9555.463,0.463,-9554.297,-0.703
-9554,40,"0x0028",1,-9554.291,0.291,-9553.125,-0.875
-9553,41,"0x0029",1,-9553.119,0.119,-9551.953,-1.047
-9552,41,"0x0029",0,-9553.119,1.119,-9551.953,-0.047
-9551,42,"0x002A",1,-9551.947,0.947,-9550.781,-0.219
-9550,43,"0x002B",1,-9550.775,0.775,-9549.609,-0.391
-9549,44,"0x002C",1,-9549.603,0.603,-9548.438,-0.563
-9548,45,"0x002D",1,-9548.431,0.431,-9547.266,-0.734
-9547,46,"0x002E",1,-9547.259,0.259,-9546.094,-0.906
-9546,47,"0x002F",1,-9546.087,0.087,-9544.922,-1.078
-9545,47,"0x002F",0,-9546.087,1.087,-9544.922,-0.078
-9544,48,"0x0030",1,-9544.915,0.915,-9543.750,-0.250
-9543,49,"0x0031",1,-9543.743,0.743,-9542.578,-0.422
-9542,50,"0x0032",1,-9542.571,0.571,-9541.406,-0.594
-9541,51,"0x0033",1,-9541.399,0.399,-9540.234,-0.766
-9540,52,"0x0034",1,-9540.227,0.227,-9539.063,-0.938
-9539,53,"0x0035",1,-9539.055,0.055,-9537.891,-1.109
-9538,53,"0x0035",0,-9539.055,1.055,-9537.891,-0.109
-9537,54,"0x0036",1,-9537.883,0.883,-9536.719,-0.281
-9536,55,"0x0037",1,-9536.711,0.711,-9535.547,-0.453
-9535,56,"0x0038",1,-9535.539,0.539,-9534.375,-0.625
-9534,57,"0x0039",1,-9534.367,0.367,-9533.203,-0.797
-9533,58,"0x003A",1,-9533.195,0.195,-9532.031,-0.969
-9532,59,"0x003B",1,-9532.023,0.023,-9530.859,-1.141
-9531,59,"0x003B",0,-9532.023,1.023,-9530.859,-0.141
-9530,60,"0x003C",1,-9530.851,0.851,-9529.688,-0.313
-9529,61,"0x003D",1,-9529.679,0.679,-9528.516,-0.484
-9528,62,"0x003E",1,-9528.507,0.507,-9527.344,-0.656
-9527,63,"0x003F",1,-9527.335,0.335,-9526.172,-0.828
-9526,64,"0x0040",1,-9526.163,0.163,-9525.000,-1.000
-9525,64,"0x0040",0,-9526.163,1.163,-9525.000,0.000
-9524,65,"0x0041",1,-9524.991,0.991,-9523.828,-0.172
-9523,66,"0x0042",1,-9523.819,0.819,-9522.656,-0.344
-9522,67,"0x0043",1,-9522.647,0.647,-9521.484,-0.516
-9521,68,"0x0044",1,-9521.475,0.475,-9520.313,-0.688
-9520,69,"0x0045",1,-9520.303,0.303,-9519.141,-0.859
-9519,70,"0x0046",1,-9519.131,0.131,-9517.969,-1.031
-9518,70,"0x0046",0,-9519.131,1.131,-9517.969,-0.031
-9517,71,"0x0047",1,-9517.959,0.959,-9516.797,-0.203
-9516,72,"0x0048",1,-9516.787,0.787,-9515.625,-0.375
-9515,73,"0x0049",1,-9515.615,0.615,-9514.453,-0.547
-9514,74,"0x004A",1,-9514.443,0.443,-9513.281,-0.719
-9513,75,"0x004B",1,-9513.271,0.271,-9512.109,-0.891
-9512,76,"0x004C",1,-9512.099,0.099,-9510.938,-1.063
-9511,76,"0x004C",0,-9512.099,1.099,-9510.938,-0.063
-9510,77,"0x004D",1,-9510.927,0.927,-9509.766,-0.234
-9509,78,"0x004E",1,-9509.755,0.755,-9508.594,-0.406
-9508,79,"0x004F",1,-9508.583,0.583,-9507.422,-0.578
-9507,80,"0x0050",1,-9507.411,0.411,-9506.250,-0.750
-9506,81,"0x0051",1,-9506.239,0.239,-9505.078,-0.922
-9505,82,"0x0052",1,-9505.067,0.067,-9503.906,-1.094
-9504,82,"0x0052",0,-9505.067,1.067,-9503.906,-0.094
-9503,83,"0x0053",1,-9503.895,0.895,-9502.734,-0.266
-9502,84,"0x0054",1,-9502.723,0.723,-9501.563,-0.438
-9501,85,"0x0055",1,-9501.550,0.550,-9500.391,-0.609
-9500,86,"0x0056",1,-9500.378,0.378,-9499.219,-0.781
-9499,87,"0x0057",1,-9499.206,0.206,-9498.047,-0.953
-9498,88,"0x0058",1,-9498.034,0.034,-9496.875,-1.125
-9497,88,"0x0058",0,-9498.034,1.034,-9496.875,-0.125
-9496,89,"0x0059",1,-9496.862,0.862,-9495.703,-0.297
-9495,90,"0x005A",1,-9495.690,0.690,-9494.531,-0.469
-9494,91,"0x005B",1,-9494.518,0.518,-9493.359,-0.641
-9493,92,"0x005C",1,-9493.346,0.346,-9492.188,-0.813
-9492,93,"0x005D",1,-9492.174,0.174,-9491.016,-0.984
-9491,94,"0x005E",1,-9491.002,0.002,-9489.844,-1.156
-9490,94,"0x005E",0,-9491.002,1.002,-9489.844,-0.156
-9489,95,"0x005F",1,-9489.830,0.830,-9488.672,-0.328
-9488,96,"0x0060",1,-9488.658,0.658,-9487.500,-0.500
-9487,97,"0x0061",1,-9487.486,0.486,-9486.328,-0.672
-9486,98,"0x0062",1,-9486.314,0.314,-9485.156,-0.844
-9485,99,"0x0063",1,-9485.142,0.142,-9483.984,-1.016
-9484,99,"0x0063",0,-9485.142,1.142,-9483.984,-0.016
-9483,100,"0x0064",1,-9483.970,0.970,-9482.813,-0.188
-9482,101,"0x0065",1,-9482.798,0.798,-9481.641,-0.359
-9481,102,"0x0066",1,-9481.626,0.626,-9480.469,-0.531
-9480,103,"0x0067",1,-9480.454,0.454,-9479.297,-0.703
-9479,104,"0x0068",1,-9479.282,0.282,-9478.125,-0.875
-9478,105,"0x0069",1,-9478.110,0.110,-9476.953,-1.047
-9477,105,"0x0069",0,-9478.110,1.110,-9476.953,-0.047
-9476,106,"0x006A",1,-9476.938,0.938,-9475.781,-0.219
-9475,107,"0x006B",1,-9475.766,0.766,-9474.609,-0.391
-9474,108,"0x006C",1,-9474.594,0.594,-9473.438,-0.563
